prefix,ok,chi_1(384),chi_2(384),chi_3(384),hash,CC
rc_-1800_0_-1800,True,-0.015099090723947826,164.95911364948228,147.8459861643497,170783676617867633013143528262175029988,0.1441
rc_-1800_-1200_1800,True,-0.015099090723947826,44.95911364948228,147.8459861643497,202935067040174862837801930200096817193,0.0319
rc_-1800_-600_-1800,True,-0.015099090723947826,104.95911364948222,147.8459861643498,239016138869552740474846437595858330916,0.1424
rc_-1800_0_0,True,-0.015099090723947826,164.95911364948228,-32.15401383565023,214510357727520456195300941798049546125,0.1445
rc_-1800_-1200_-1200,True,-0.015099090723947826,44.95911364948228,-152.15401383565032,70998932853697484735947945883771803222,0.0245
rc_-1800_-1200_-1800,True,-0.015099090723947826,44.95911364948228,147.8459861643497,202935067040174862837801930200096817193,0.0319
rc_-1800_0_1200,True,-0.015099090723947826,164.95911364948228,87.84598616434975,107321227240878457113412574859500645894,0.1203
rc_-1800_0_1800,True,-0.015099090723947826,164.95911364948228,147.8459861643497,170783676617867633013143528262175029988,0.1441
rc_-1800_600_0,True,-0.015099090723947826,-135.04088635051775,-32.15401383565029,318102887897964451774347874150255270503,0.1432
rc_-1800_600_-1200,True,-0.015099090723947826,-135.04088635051775,-152.15401383565026,124472165617103591580008446737797000030,0.1472
rc_-1800_600_-1800,True,-0.015099090723947826,-135.04088635051775,147.8459861643497,241090840083228225570140260970232980825,0.1317
rc_-1800_600_-600,True,-0.015099090723947826,-135.04088635051775,-92.1540138356503,260215002667139207796803837586169948005,0.1142
rc_-1800_1200_0,True,-0.015099090723947826,-75.04088635051771,-32.154013835650424,115628336686860079419200310752571726627,0.1376
rc_-1200_-1800_600,True,59.98490090927997,-15.040886350517757,27.845986164349686,293500548998731211791771085223330197013,0.1061
rc_-1200_-1800_-600,True,59.98490090927997,-15.040886350517757,-92.15401383565029,35707364249038813007469675050052865461,0.0416
rc_-1800_1800_-1200,True,-0.015099090723947826,-15.040886350517708,-152.15401383565026,258936959404232569153206652327392650205,0.0777
rc_-1800_1800_-1800,True,-0.015099090723947826,-15.040886350517708,147.8459861643498,290731621245947921195499163261927295824,0.0806
rc_-1800_600_600,True,-0.015099090723947826,-135.04088635051775,27.84598616434967,48152575966101624057486123699442545189,0.1513
rc_-1800_600_1800,True,-0.015099090723947826,-135.04088635051775,147.84598616434965,241090840083228225570140260970232980825,0.1317
rc_-1800_600_1200,True,-0.015099090723947826,-135.04088635051775,87.84598616434972,136257584817706306344256530719732482235,0.123
rc_-1800_1200_-1200,True,-0.015099090723947826,-75.04088635051771,-152.15401383565037,90294384231751143791695064304246204894,0.1514
rc_-1800_1200_-1800,True,-0.015099090723947826,-75.04088635051771,147.84598616434957,83235058315248205252899774216511864287,0.1316
rc_-1800_1200_-600,True,-0.015099090723947826,-75.04088635051771,-92.15401383565035,316141156424996693930531833546852102202,0.086
rc_-1800_1200_600,True,-0.015099090723947826,-75.04088635051771,27.84598616434959,60851143400422072354867483072771613588,0.1564
rc_-1800_1200_1200,True,-0.015099090723947826,-75.04088635051771,87.8459861643496,282403559510832476778430002159324260651,0.0822
rc_-1800_1800_1800,True,-0.015099090723947826,-15.040886350517708,147.8459861643498,290731621245947921195499163261927295824,0.0806
rc_-1800_1200_1800,True,-0.015099090723947826,-75.04088635051771,147.84598616434957,83235058315248205252899774216511864287,0.1316
rc_-1800_1800_0,True,-0.015099090723947826,-15.040886350517708,-32.15401383565023,8148123669420081612110439455137122359,0.0775
rc_-1800_1800_-600,True,-0.015099090723947826,-15.040886350517708,-92.15401383565033,294538445785235992013414522409649124470,0.0411
rc_-1200_-1800_0,True,59.98490090927997,-15.040886350517757,-32.15401383565031,168368084244954652419221381353427603258,0.0978
rc_-1800_1800_1200,True,-0.015099090723947826,-15.040886350517708,87.84598616434971,130359035388044988669289893234793836377,0.0475
rc_-1200_-1800_-1800,True,59.98490090927997,-15.040886350517757,147.84598616434977,312938323359972610797914507009115607164,0.11
rc_-1800_1800_600,True,-0.015099090723947826,-15.040886350517708,27.84598616434974,265928919491940368616544804110194603514,0.0801
rc_-1200_-1800_-1200,True,59.98490090927997,-15.040886350517757,-152.15401383565032,98538181266245758069574127161126657217,0.1144
rc_-1200_-1800_1200,True,59.98490090927997,-15.040886350517757,87.84598616434971,228030156803787337103578893347021898140,0.0493
